Country,State,City,Tourist Place,Address,Image URL,Reviews,Best Visiting Time,Best Visiting Days,Best Visiting Months,Nearby Attractions,Recommended Stay,Google Maps Link
USA,New York,Rochester,Beach in Rochester,"152 Beach St, Rochester, New York, USA","https://source.unsplash.com/400x300/?Beach,Rochester",3.9,Afternoon,Anytime,Autumn,Nearby Temple,Hotel in Rochester,"https://www.google.com/maps/search/Beach+in+Rochester,Rochester"
Japan,Kyoto,Gion,Beach in Gion,"665 Beach St, Gion, Kyoto, Japan","https://source.unsplash.com/400x300/?Beach,Gion",4.4,Evening,Weekdays,Summer,Nearby Museum,Resort in Gion,"https://www.google.com/maps/search/Beach+in+Gion,Gion"
Australia,Victoria,Geelong,Temple in Geelong,"840 Temple St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?Temple,Geelong",4.2,Afternoon,Anytime,Spring,Nearby Waterfall,Hotel in Geelong,"https://www.google.com/maps/search/Temple+in+Geelong,Geelong"
France,Provence-Alpes-Côte d'Azur,Nice,Mountain in Nice,"469 Mountain St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?Mountain,Nice",4.0,Evening,Weekdays,Autumn,Nearby Aquarium,Resort in Nice,"https://www.google.com/maps/search/Mountain+in+Nice,Nice"
Japan,Kyoto,Gion,Botanical Garden in Gion,"477 Botanical Garden St, Gion, Kyoto, Japan","https://source.unsplash.com/400x300/?BotanicalGarden,Gion",3.5,Afternoon,Weekends,Autumn,Nearby Historical Site,Hostel in Gion,"https://www.google.com/maps/search/Botanical+Garden+in+Gion,Gion"
Australia,Queensland,Brisbane,Museum in Brisbane,"795 Museum St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?Museum,Brisbane",4.0,Afternoon,Weekdays,Autumn,Nearby Botanical Garden,Hotel in Brisbane,"https://www.google.com/maps/search/Museum+in+Brisbane,Brisbane"
Australia,Victoria,Melbourne,Temple in Melbourne,"504 Temple St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?Temple,Melbourne",4.4,Evening,Weekends,Summer,Nearby Temple,Hotel in Melbourne,"https://www.google.com/maps/search/Temple+in+Melbourne,Melbourne"
India,Maharashtra,Nagpur,Waterfall in Nagpur,"334 Waterfall St, Nagpur, Maharashtra, India","https://source.unsplash.com/400x300/?Waterfall,Nagpur",4.2,Morning,Anytime,Winter,Nearby Mountain,Resort in Nagpur,"https://www.google.com/maps/search/Waterfall+in+Nagpur,Nagpur"
India,Tamil Nadu,Madurai,Waterfall in Madurai,"714 Waterfall St, Madurai, Tamil Nadu, India","https://source.unsplash.com/400x300/?Waterfall,Madurai",4.8,Evening,Anytime,Winter,Nearby Shopping Mall,Hotel in Madurai,"https://www.google.com/maps/search/Waterfall+in+Madurai,Madurai"
Australia,Victoria,Melbourne,Waterfall in Melbourne,"282 Waterfall St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?Waterfall,Melbourne",3.7,Afternoon,Weekdays,Autumn,Nearby Theme Park,Resort in Melbourne,"https://www.google.com/maps/search/Waterfall+in+Melbourne,Melbourne"
France,Provence-Alpes-Côte d'Azur,Marseille,Shopping Mall in Marseille,"961 Shopping Mall St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?ShoppingMall,Marseille",4.5,Afternoon,Weekends,Summer,Nearby Wildlife Sanctuary,Resort in Marseille,"https://www.google.com/maps/search/Shopping+Mall+in+Marseille,Marseille"
Japan,Kyoto,Gion,Museum in Gion,"328 Museum St, Gion, Kyoto, Japan","https://source.unsplash.com/400x300/?Museum,Gion",3.9,Afternoon,Anytime,Autumn,Nearby Museum,Hostel in Gion,"https://www.google.com/maps/search/Museum+in+Gion,Gion"
France,Île-de-France,Versailles,Mountain in Versailles,"305 Mountain St, Versailles, Île-de-France, France","https://source.unsplash.com/400x300/?Mountain,Versailles",5.0,Morning,Anytime,Autumn,Nearby Cultural Center,Resort in Versailles,"https://www.google.com/maps/search/Mountain+in+Versailles,Versailles"
Japan,Osaka,Dotonbori,Beach in Dotonbori,"232 Beach St, Dotonbori, Osaka, Japan","https://source.unsplash.com/400x300/?Beach,Dotonbori",4.8,Afternoon,Anytime,Winter,Nearby Zoo,Hostel in Dotonbori,"https://www.google.com/maps/search/Beach+in+Dotonbori,Dotonbori"
Australia,Queensland,Gold Coast,Aquarium in Gold Coast,"843 Aquarium St, Gold Coast, Queensland, Australia","https://source.unsplash.com/400x300/?Aquarium,GoldCoast",4.5,Afternoon,Weekends,Summer,Nearby Shopping Mall,Hotel in Gold Coast,"https://www.google.com/maps/search/Aquarium+in+Gold+Coast,Gold Coast"
Japan,Osaka,Namba,Botanical Garden in Namba,"489 Botanical Garden St, Namba, Osaka, Japan","https://source.unsplash.com/400x300/?BotanicalGarden,Namba",3.8,Morning,Weekdays,Summer,Nearby Cultural Center,Hotel in Namba,"https://www.google.com/maps/search/Botanical+Garden+in+Namba,Namba"
India,Tamil Nadu,Chennai,Historical Site in Chennai,"520 Historical Site St, Chennai, Tamil Nadu, India","https://source.unsplash.com/400x300/?HistoricalSite,Chennai",5.0,Morning,Weekends,Summer,Nearby Mountain,Hotel in Chennai,"https://www.google.com/maps/search/Historical+Site+in+Chennai,Chennai"
France,Île-de-France,Paris,Museum in Paris,"698 Museum St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?Museum,Paris",4.2,Evening,Anytime,Summer,Nearby Botanical Garden,Resort in Paris,"https://www.google.com/maps/search/Museum+in+Paris,Paris"
Japan,Osaka,Dotonbori,Wildlife Sanctuary in Dotonbori,"803 Wildlife Sanctuary St, Dotonbori, Osaka, Japan","https://source.unsplash.com/400x300/?WildlifeSanctuary,Dotonbori",4.1,Evening,Weekends,Spring,Nearby Cultural Center,Hostel in Dotonbori,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Dotonbori,Dotonbori"
Japan,Tokyo,Shinjuku,Zoo in Shinjuku,"11 Zoo St, Shinjuku, Tokyo, Japan","https://source.unsplash.com/400x300/?Zoo,Shinjuku",3.8,Evening,Weekends,Summer,Nearby Shopping Mall,Hotel in Shinjuku,"https://www.google.com/maps/search/Zoo+in+Shinjuku,Shinjuku"
France,Île-de-France,Paris,Aquarium in Paris,"591 Aquarium St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?Aquarium,Paris",3.6,Evening,Anytime,Summer,Nearby Cultural Center,Hotel in Paris,"https://www.google.com/maps/search/Aquarium+in+Paris,Paris"
India,Tamil Nadu,Chennai,Theme Park in Chennai,"35 Theme Park St, Chennai, Tamil Nadu, India","https://source.unsplash.com/400x300/?ThemePark,Chennai",4.2,Evening,Anytime,Spring,Nearby Aquarium,Resort in Chennai,"https://www.google.com/maps/search/Theme+Park+in+Chennai,Chennai"
Australia,Victoria,Geelong,Zoo in Geelong,"940 Zoo St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?Zoo,Geelong",4.2,Evening,Weekdays,Autumn,Nearby Temple,Hotel in Geelong,"https://www.google.com/maps/search/Zoo+in+Geelong,Geelong"
India,Tamil Nadu,Coimbatore,Temple in Coimbatore,"73 Temple St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?Temple,Coimbatore",3.6,Afternoon,Anytime,Summer,Nearby Waterfall,Hostel in Coimbatore,"https://www.google.com/maps/search/Temple+in+Coimbatore,Coimbatore"
USA,Florida,Orlando,Temple in Orlando,"517 Temple St, Orlando, Florida, USA","https://source.unsplash.com/400x300/?Temple,Orlando",5.0,Evening,Weekdays,Spring,Nearby Temple,Resort in Orlando,"https://www.google.com/maps/search/Temple+in+Orlando,Orlando"
USA,Texas,Dallas,Mountain in Dallas,"45 Mountain St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?Mountain,Dallas",4.9,Evening,Weekends,Spring,Nearby Shopping Mall,Hotel in Dallas,"https://www.google.com/maps/search/Mountain+in+Dallas,Dallas"
India,Kerala,Kochi,Amusement Park in Kochi,"584 Amusement Park St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?AmusementPark,Kochi",4.9,Evening,Weekdays,Summer,Nearby Shopping Mall,Resort in Kochi,"https://www.google.com/maps/search/Amusement+Park+in+Kochi,Kochi"
India,Maharashtra,Mumbai,Aquarium in Mumbai,"797 Aquarium St, Mumbai, Maharashtra, India","https://source.unsplash.com/400x300/?Aquarium,Mumbai",5.0,Evening,Weekdays,Autumn,Nearby Wildlife Sanctuary,Hostel in Mumbai,"https://www.google.com/maps/search/Aquarium+in+Mumbai,Mumbai"
Australia,Victoria,Melbourne,Historical Site in Melbourne,"833 Historical Site St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?HistoricalSite,Melbourne",4.9,Evening,Weekends,Winter,Nearby Historical Site,Hotel in Melbourne,"https://www.google.com/maps/search/Historical+Site+in+Melbourne,Melbourne"
Australia,New South Wales,Sydney,Temple in Sydney,"710 Temple St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?Temple,Sydney",3.7,Afternoon,Weekends,Winter,Nearby Historical Site,Resort in Sydney,"https://www.google.com/maps/search/Temple+in+Sydney,Sydney"
France,Île-de-France,Versailles,Amusement Park in Versailles,"891 Amusement Park St, Versailles, Île-de-France, France","https://source.unsplash.com/400x300/?AmusementPark,Versailles",4.3,Evening,Weekdays,Spring,Nearby Waterfall,Hotel in Versailles,"https://www.google.com/maps/search/Amusement+Park+in+Versailles,Versailles"
USA,Texas,Houston,Beach in Houston,"78 Beach St, Houston, Texas, USA","https://source.unsplash.com/400x300/?Beach,Houston",4.7,Afternoon,Weekdays,Autumn,Nearby Cultural Center,Resort in Houston,"https://www.google.com/maps/search/Beach+in+Houston,Houston"
USA,Texas,Dallas,Botanical Garden in Dallas,"416 Botanical Garden St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?BotanicalGarden,Dallas",4.5,Evening,Anytime,Summer,Nearby Botanical Garden,Hostel in Dallas,"https://www.google.com/maps/search/Botanical+Garden+in+Dallas,Dallas"
India,Tamil Nadu,Coimbatore,Aquarium in Coimbatore,"508 Aquarium St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?Aquarium,Coimbatore",4.6,Evening,Weekends,Spring,Nearby Cultural Center,Hotel in Coimbatore,"https://www.google.com/maps/search/Aquarium+in+Coimbatore,Coimbatore"
Japan,Hokkaido,Hakodate,Aquarium in Hakodate,"555 Aquarium St, Hakodate, Hokkaido, Japan","https://source.unsplash.com/400x300/?Aquarium,Hakodate",4.9,Afternoon,Weekends,Spring,Nearby Beach,Hotel in Hakodate,"https://www.google.com/maps/search/Aquarium+in+Hakodate,Hakodate"
Australia,New South Wales,Newcastle,Historical Site in Newcastle,"351 Historical Site St, Newcastle, New South Wales, Australia","https://source.unsplash.com/400x300/?HistoricalSite,Newcastle",3.7,Evening,Weekends,Autumn,Nearby Botanical Garden,Resort in Newcastle,"https://www.google.com/maps/search/Historical+Site+in+Newcastle,Newcastle"
Japan,Hokkaido,Hakodate,Beach in Hakodate,"619 Beach St, Hakodate, Hokkaido, Japan","https://source.unsplash.com/400x300/?Beach,Hakodate",4.8,Afternoon,Anytime,Spring,Nearby Amusement Park,Hostel in Hakodate,"https://www.google.com/maps/search/Beach+in+Hakodate,Hakodate"
Australia,Queensland,Brisbane,Shopping Mall in Brisbane,"326 Shopping Mall St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?ShoppingMall,Brisbane",4.5,Morning,Anytime,Winter,Nearby Mountain,Hotel in Brisbane,"https://www.google.com/maps/search/Shopping+Mall+in+Brisbane,Brisbane"
Australia,Victoria,Melbourne,Beach in Melbourne,"431 Beach St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?Beach,Melbourne",3.8,Afternoon,Weekdays,Winter,Nearby Aquarium,Hotel in Melbourne,"https://www.google.com/maps/search/Beach+in+Melbourne,Melbourne"
Japan,Tokyo,Shinjuku,Beach in Shinjuku,"328 Beach St, Shinjuku, Tokyo, Japan","https://source.unsplash.com/400x300/?Beach,Shinjuku",4.3,Morning,Weekdays,Winter,Nearby Amusement Park,Hotel in Shinjuku,"https://www.google.com/maps/search/Beach+in+Shinjuku,Shinjuku"
India,Tamil Nadu,Madurai,Museum in Madurai,"252 Museum St, Madurai, Tamil Nadu, India","https://source.unsplash.com/400x300/?Museum,Madurai",4.1,Afternoon,Weekdays,Spring,Nearby Theme Park,Hostel in Madurai,"https://www.google.com/maps/search/Museum+in+Madurai,Madurai"
USA,Texas,Houston,Beach in Houston,"616 Beach St, Houston, Texas, USA","https://source.unsplash.com/400x300/?Beach,Houston",4.1,Evening,Weekends,Winter,Nearby Museum,Hostel in Houston,"https://www.google.com/maps/search/Beach+in+Houston,Houston"
France,Provence-Alpes-Côte d'Azur,Marseille,Wildlife Sanctuary in Marseille,"925 Wildlife Sanctuary St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?WildlifeSanctuary,Marseille",4.2,Afternoon,Weekends,Summer,Nearby Historical Site,Hotel in Marseille,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Marseille,Marseille"
Japan,Osaka,Namba,Museum in Namba,"158 Museum St, Namba, Osaka, Japan","https://source.unsplash.com/400x300/?Museum,Namba",4.4,Morning,Weekdays,Autumn,Nearby Botanical Garden,Hostel in Namba,"https://www.google.com/maps/search/Museum+in+Namba,Namba"
Japan,Osaka,Dotonbori,Beach in Dotonbori,"780 Beach St, Dotonbori, Osaka, Japan","https://source.unsplash.com/400x300/?Beach,Dotonbori",4.2,Afternoon,Weekends,Autumn,Nearby Mountain,Resort in Dotonbori,"https://www.google.com/maps/search/Beach+in+Dotonbori,Dotonbori"
France,Normandy,Rouen,Wildlife Sanctuary in Rouen,"964 Wildlife Sanctuary St, Rouen, Normandy, France","https://source.unsplash.com/400x300/?WildlifeSanctuary,Rouen",4.0,Morning,Anytime,Autumn,Nearby Mountain,Hostel in Rouen,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Rouen,Rouen"
USA,New York,New York City,Historical Site in New York City,"423 Historical Site St, New York City, New York, USA","https://source.unsplash.com/400x300/?HistoricalSite,NewYorkCity",4.1,Morning,Weekdays,Autumn,Nearby Waterfall,Resort in New York City,"https://www.google.com/maps/search/Historical+Site+in+New+York+City,New York City"
India,Tamil Nadu,Coimbatore,Wildlife Sanctuary in Coimbatore,"952 Wildlife Sanctuary St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?WildlifeSanctuary,Coimbatore",3.6,Morning,Weekends,Autumn,Nearby Amusement Park,Hotel in Coimbatore,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Coimbatore,Coimbatore"
France,Île-de-France,Paris,Amusement Park in Paris,"982 Amusement Park St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?AmusementPark,Paris",4.7,Morning,Anytime,Winter,Nearby Wildlife Sanctuary,Hostel in Paris,"https://www.google.com/maps/search/Amusement+Park+in+Paris,Paris"
India,Kerala,Munnar,Shopping Mall in Munnar,"501 Shopping Mall St, Munnar, Kerala, India","https://source.unsplash.com/400x300/?ShoppingMall,Munnar",5.0,Afternoon,Anytime,Summer,Nearby Amusement Park,Hotel in Munnar,"https://www.google.com/maps/search/Shopping+Mall+in+Munnar,Munnar"
Australia,Victoria,Geelong,Theme Park in Geelong,"131 Theme Park St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?ThemePark,Geelong",4.3,Evening,Weekends,Winter,Nearby Shopping Mall,Hotel in Geelong,"https://www.google.com/maps/search/Theme+Park+in+Geelong,Geelong"
USA,New York,Buffalo,Temple in Buffalo,"548 Temple St, Buffalo, New York, USA","https://source.unsplash.com/400x300/?Temple,Buffalo",3.6,Evening,Weekends,Autumn,Nearby Historical Site,Resort in Buffalo,"https://www.google.com/maps/search/Temple+in+Buffalo,Buffalo"
USA,Texas,Dallas,Shopping Mall in Dallas,"935 Shopping Mall St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?ShoppingMall,Dallas",4.8,Evening,Anytime,Autumn,Nearby Waterfall,Hotel in Dallas,"https://www.google.com/maps/search/Shopping+Mall+in+Dallas,Dallas"
Australia,Queensland,Brisbane,Cultural Center in Brisbane,"190 Cultural Center St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?CulturalCenter,Brisbane",4.0,Evening,Weekends,Summer,Nearby Beach,Resort in Brisbane,"https://www.google.com/maps/search/Cultural+Center+in+Brisbane,Brisbane"
Australia,Queensland,Brisbane,Shopping Mall in Brisbane,"518 Shopping Mall St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?ShoppingMall,Brisbane",4.7,Morning,Weekends,Winter,Nearby Aquarium,Hostel in Brisbane,"https://www.google.com/maps/search/Shopping+Mall+in+Brisbane,Brisbane"
USA,Florida,Orlando,Temple in Orlando,"705 Temple St, Orlando, Florida, USA","https://source.unsplash.com/400x300/?Temple,Orlando",3.6,Evening,Weekdays,Autumn,Nearby Amusement Park,Hotel in Orlando,"https://www.google.com/maps/search/Temple+in+Orlando,Orlando"
USA,California,San Diego,Museum in San Diego,"241 Museum St, San Diego, California, USA","https://source.unsplash.com/400x300/?Museum,SanDiego",4.9,Evening,Anytime,Winter,Nearby Temple,Resort in San Diego,"https://www.google.com/maps/search/Museum+in+San+Diego,San Diego"
France,Normandy,Caen,Waterfall in Caen,"371 Waterfall St, Caen, Normandy, France","https://source.unsplash.com/400x300/?Waterfall,Caen",4.1,Evening,Weekends,Autumn,Nearby Amusement Park,Hostel in Caen,"https://www.google.com/maps/search/Waterfall+in+Caen,Caen"
Australia,Queensland,Brisbane,Historical Site in Brisbane,"287 Historical Site St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?HistoricalSite,Brisbane",4.8,Afternoon,Weekends,Autumn,Nearby Mountain,Resort in Brisbane,"https://www.google.com/maps/search/Historical+Site+in+Brisbane,Brisbane"
India,Tamil Nadu,Coimbatore,Waterfall in Coimbatore,"602 Waterfall St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?Waterfall,Coimbatore",4.8,Afternoon,Weekends,Winter,Nearby Wildlife Sanctuary,Hostel in Coimbatore,"https://www.google.com/maps/search/Waterfall+in+Coimbatore,Coimbatore"
USA,California,San Francisco,Shopping Mall in San Francisco,"590 Shopping Mall St, San Francisco, California, USA","https://source.unsplash.com/400x300/?ShoppingMall,SanFrancisco",4.5,Evening,Weekdays,Summer,Nearby Theme Park,Hostel in San Francisco,"https://www.google.com/maps/search/Shopping+Mall+in+San+Francisco,San Francisco"
India,Tamil Nadu,Chennai,Wildlife Sanctuary in Chennai,"68 Wildlife Sanctuary St, Chennai, Tamil Nadu, India","https://source.unsplash.com/400x300/?WildlifeSanctuary,Chennai",4.9,Evening,Weekdays,Autumn,Nearby Museum,Resort in Chennai,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Chennai,Chennai"
France,Île-de-France,Versailles,Theme Park in Versailles,"128 Theme Park St, Versailles, Île-de-France, France","https://source.unsplash.com/400x300/?ThemePark,Versailles",4.4,Morning,Weekdays,Spring,Nearby Temple,Hotel in Versailles,"https://www.google.com/maps/search/Theme+Park+in+Versailles,Versailles"
India,Kerala,Kochi,Zoo in Kochi,"18 Zoo St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?Zoo,Kochi",4.7,Afternoon,Weekdays,Summer,Nearby Mountain,Resort in Kochi,"https://www.google.com/maps/search/Zoo+in+Kochi,Kochi"
France,Normandy,Caen,Waterfall in Caen,"754 Waterfall St, Caen, Normandy, France","https://source.unsplash.com/400x300/?Waterfall,Caen",3.9,Afternoon,Anytime,Summer,Nearby Waterfall,Resort in Caen,"https://www.google.com/maps/search/Waterfall+in+Caen,Caen"
Japan,Hokkaido,Sapporo,Mountain in Sapporo,"214 Mountain St, Sapporo, Hokkaido, Japan","https://source.unsplash.com/400x300/?Mountain,Sapporo",4.9,Evening,Weekends,Summer,Nearby Wildlife Sanctuary,Hostel in Sapporo,"https://www.google.com/maps/search/Mountain+in+Sapporo,Sapporo"
USA,New York,Buffalo,Theme Park in Buffalo,"865 Theme Park St, Buffalo, New York, USA","https://source.unsplash.com/400x300/?ThemePark,Buffalo",3.7,Morning,Weekdays,Spring,Nearby Shopping Mall,Hostel in Buffalo,"https://www.google.com/maps/search/Theme+Park+in+Buffalo,Buffalo"
USA,California,San Diego,Mountain in San Diego,"788 Mountain St, San Diego, California, USA","https://source.unsplash.com/400x300/?Mountain,SanDiego",4.1,Evening,Anytime,Winter,Nearby Museum,Resort in San Diego,"https://www.google.com/maps/search/Mountain+in+San+Diego,San Diego"
India,Maharashtra,Pune,Botanical Garden in Pune,"394 Botanical Garden St, Pune, Maharashtra, India","https://source.unsplash.com/400x300/?BotanicalGarden,Pune",3.9,Morning,Anytime,Spring,Nearby Wildlife Sanctuary,Resort in Pune,"https://www.google.com/maps/search/Botanical+Garden+in+Pune,Pune"
India,Maharashtra,Pune,Museum in Pune,"727 Museum St, Pune, Maharashtra, India","https://source.unsplash.com/400x300/?Museum,Pune",4.6,Evening,Weekends,Spring,Nearby Botanical Garden,Resort in Pune,"https://www.google.com/maps/search/Museum+in+Pune,Pune"
USA,New York,Buffalo,Aquarium in Buffalo,"969 Aquarium St, Buffalo, New York, USA","https://source.unsplash.com/400x300/?Aquarium,Buffalo",4.7,Morning,Weekends,Spring,Nearby Historical Site,Resort in Buffalo,"https://www.google.com/maps/search/Aquarium+in+Buffalo,Buffalo"
India,Kerala,Kochi,Waterfall in Kochi,"219 Waterfall St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?Waterfall,Kochi",4.3,Evening,Anytime,Spring,Nearby Historical Site,Hostel in Kochi,"https://www.google.com/maps/search/Waterfall+in+Kochi,Kochi"
Japan,Tokyo,Shinjuku,Theme Park in Shinjuku,"760 Theme Park St, Shinjuku, Tokyo, Japan","https://source.unsplash.com/400x300/?ThemePark,Shinjuku",4.8,Evening,Weekends,Autumn,Nearby Amusement Park,Hotel in Shinjuku,"https://www.google.com/maps/search/Theme+Park+in+Shinjuku,Shinjuku"
Australia,Victoria,Geelong,Aquarium in Geelong,"403 Aquarium St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?Aquarium,Geelong",4.9,Afternoon,Anytime,Autumn,Nearby Zoo,Resort in Geelong,"https://www.google.com/maps/search/Aquarium+in+Geelong,Geelong"
Australia,Queensland,Brisbane,Wildlife Sanctuary in Brisbane,"816 Wildlife Sanctuary St, Brisbane, Queensland, Australia","https://source.unsplash.com/400x300/?WildlifeSanctuary,Brisbane",3.5,Afternoon,Anytime,Summer,Nearby Wildlife Sanctuary,Hostel in Brisbane,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Brisbane,Brisbane"
India,Maharashtra,Pune,Cultural Center in Pune,"485 Cultural Center St, Pune, Maharashtra, India","https://source.unsplash.com/400x300/?CulturalCenter,Pune",3.8,Evening,Weekends,Spring,Nearby Zoo,Resort in Pune,"https://www.google.com/maps/search/Cultural+Center+in+Pune,Pune"
France,Provence-Alpes-Côte d'Azur,Marseille,Aquarium in Marseille,"776 Aquarium St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?Aquarium,Marseille",4.6,Morning,Weekends,Winter,Nearby Wildlife Sanctuary,Resort in Marseille,"https://www.google.com/maps/search/Aquarium+in+Marseille,Marseille"
USA,Texas,Austin,Aquarium in Austin,"952 Aquarium St, Austin, Texas, USA","https://source.unsplash.com/400x300/?Aquarium,Austin",4.0,Afternoon,Weekends,Autumn,Nearby Botanical Garden,Hotel in Austin,"https://www.google.com/maps/search/Aquarium+in+Austin,Austin"
Australia,Victoria,Geelong,Botanical Garden in Geelong,"141 Botanical Garden St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?BotanicalGarden,Geelong",4.5,Afternoon,Anytime,Spring,Nearby Botanical Garden,Hostel in Geelong,"https://www.google.com/maps/search/Botanical+Garden+in+Geelong,Geelong"
France,Provence-Alpes-Côte d'Azur,Nice,Botanical Garden in Nice,"999 Botanical Garden St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?BotanicalGarden,Nice",4.9,Morning,Weekends,Autumn,Nearby Theme Park,Resort in Nice,"https://www.google.com/maps/search/Botanical+Garden+in+Nice,Nice"
France,Provence-Alpes-Côte d'Azur,Marseille,Theme Park in Marseille,"999 Theme Park St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?ThemePark,Marseille",3.7,Evening,Weekends,Winter,Nearby Botanical Garden,Hotel in Marseille,"https://www.google.com/maps/search/Theme+Park+in+Marseille,Marseille"
France,Normandy,Caen,Zoo in Caen,"535 Zoo St, Caen, Normandy, France","https://source.unsplash.com/400x300/?Zoo,Caen",4.7,Afternoon,Weekends,Autumn,Nearby Amusement Park,Hostel in Caen,"https://www.google.com/maps/search/Zoo+in+Caen,Caen"
France,Provence-Alpes-Côte d'Azur,Nice,Botanical Garden in Nice,"355 Botanical Garden St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?BotanicalGarden,Nice",3.7,Morning,Anytime,Spring,Nearby Mountain,Hotel in Nice,"https://www.google.com/maps/search/Botanical+Garden+in+Nice,Nice"
Japan,Tokyo,Shinjuku,Cultural Center in Shinjuku,"465 Cultural Center St, Shinjuku, Tokyo, Japan","https://source.unsplash.com/400x300/?CulturalCenter,Shinjuku",5.0,Evening,Weekdays,Spring,Nearby Museum,Resort in Shinjuku,"https://www.google.com/maps/search/Cultural+Center+in+Shinjuku,Shinjuku"
USA,California,San Francisco,Historical Site in San Francisco,"322 Historical Site St, San Francisco, California, USA","https://source.unsplash.com/400x300/?HistoricalSite,SanFrancisco",4.3,Morning,Weekends,Autumn,Nearby Zoo,Hotel in San Francisco,"https://www.google.com/maps/search/Historical+Site+in+San+Francisco,San Francisco"
India,Kerala,Kochi,Amusement Park in Kochi,"201 Amusement Park St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?AmusementPark,Kochi",3.6,Afternoon,Weekends,Spring,Nearby Theme Park,Hotel in Kochi,"https://www.google.com/maps/search/Amusement+Park+in+Kochi,Kochi"
India,Rajasthan,Jodhpur,Historical Site in Jodhpur,"789 Historical Site St, Jodhpur, Rajasthan, India","https://source.unsplash.com/400x300/?HistoricalSite,Jodhpur",3.8,Afternoon,Weekends,Summer,Nearby Museum,Hostel in Jodhpur,"https://www.google.com/maps/search/Historical+Site+in+Jodhpur,Jodhpur"
France,Provence-Alpes-Côte d'Azur,Nice,Mountain in Nice,"206 Mountain St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?Mountain,Nice",4.1,Afternoon,Weekdays,Summer,Nearby Wildlife Sanctuary,Hotel in Nice,"https://www.google.com/maps/search/Mountain+in+Nice,Nice"
France,Normandy,Rouen,Cultural Center in Rouen,"352 Cultural Center St, Rouen, Normandy, France","https://source.unsplash.com/400x300/?CulturalCenter,Rouen",3.9,Afternoon,Weekdays,Summer,Nearby Wildlife Sanctuary,Hotel in Rouen,"https://www.google.com/maps/search/Cultural+Center+in+Rouen,Rouen"
USA,California,Los Angeles,Cultural Center in Los Angeles,"982 Cultural Center St, Los Angeles, California, USA","https://source.unsplash.com/400x300/?CulturalCenter,LosAngeles",4.7,Morning,Anytime,Winter,Nearby Waterfall,Hostel in Los Angeles,"https://www.google.com/maps/search/Cultural+Center+in+Los+Angeles,Los Angeles"
India,Tamil Nadu,Madurai,Waterfall in Madurai,"781 Waterfall St, Madurai, Tamil Nadu, India","https://source.unsplash.com/400x300/?Waterfall,Madurai",4.0,Morning,Anytime,Summer,Nearby Museum,Resort in Madurai,"https://www.google.com/maps/search/Waterfall+in+Madurai,Madurai"
